2798600110;;;;
#poses;f;isConstant;;
0;1738.23;0;;
2;1738.23;0;;
3;1247.35;0;;
4;1213.92;0;;
5;1184.83;0;;
6;1192.66;0;;
7;1197.47;0;;
8;1193.88;0;;
8;1208.73;0;;
9;1215.87;0;;
10;1217.99;0;;
11;1220.56;0;;
12;1226.38;0;;
13;1236.58;0;;
14;1245.99;0;;
15;1244.13;0;;
16;1250;0;;
17;1252.31;0;;
18;1251.04;0;;
19;1251.85;0;;
20;1248.74;0;;
21;1245.23;0;;
22;1246.31;0;;
23;1248.58;0;;
24;1242.4;0;;
25;1243.24;0;;
26;1243.48;0;;
27;1247.62;0;;
28;1248.83;0;;
29;1251.39;0;;
30;1255.47;0;;
32;1257.91;0;;
33;1257.21;0;;
34;1253.3;0;;
35;1253.09;0;;
35;1251.09;0;;
36;1250.38;0;;
36;1250.35;0;;
37;1250.56;0;;
